query_id,answer
1,4234 4219 4396 4308 1951 4361 4384 1909 4286 4328
2,4219 2646 4384 4009 1966 4308 4234 4387 1909 1923
3,1909 4234 4396 4400 4308 4219 4286 1907 4328 4329
4,4219 4234 4400 2646 4214 1966 2865 4384 1951 4361
5,4214 4308 2698 4219 4234 3128 1951 2948 4286 1747
6,4361 3750 2214 1951 4309 4520 2928 2032 3016 4234
7,4219 2865 4400 4384 4361 1966 2646 4387 4234 2521
8,1951 4234 4214 4286 4308 4532 2698 3467 4396 2646
9,4451 4214 2698 3995 4276 4219 4209 2405 4445 4361
10,4219 1966 2646 4234 4400 4384 4403 4361 4274 4252
11,4219 2865 4400 2646 1966 4384 4440 4403 4234 4308
12,4219 4400 2865 4384 1966 2646 4440 2943 4308 2831
13,4219 2646 4440 1966 4384 2865 4387 4400 4389 4532
14,4219 2646 4214 2962 4227 4307 2886 4440 4290 4320
15,4361 4219 4384 1966 2646 2943 4234 3470 2865 2037
16,4219 4440 2646 4384 4387 4389 1958 4361 2943 2865
17,4234 4308 1951 2948 4286 4227 4214 4532 2646 1909
18,4219 4234 2646 4308 4403 4387 1909 4361 4400 4328
19,1951 4214 4219 2646 2698 4234 3467 4308 4384 4320
20,4219 2646 4400 2865 1966 4384 4387 4234 2696 4308
21,4214 2698 2646 4219 1951 2665 4451 4384 4308 4361
22,4234 3862 4433 4420 4348 2148 2154 4451 3889 4440
23,4286 4328 1951 4234 4396 4214 4308 1907 3467 2462
24,4440 4219 2646 4389 4384 4387 2865 1958 1966 4361
25,4214 2698 1951 4234 4451 4286 4395 4532 2665 3478
26,4219 4389 4440 2646 2865 4361 4234 4384 1966 4394
27,4219 4440 4384 1966 2646 4387 2865 4389 4400 1958
28,4400 4234 4219 2865 4308 2646 4387 4403 4361 4384
29,4219 1966 2865 2646 4384 4361 4308 2696 4400 2831
30,1951 4219 2646 4214 4234 4308 4320 4286 2962 4384
31,4400 4234 4219 4387 4308 2646 4361 1909 1958 4403
32,4384 2962 4440 4397 4219 2646 4389 3736 4234 4276
33,4219 4440 2646 1966 4384 2865 4387 4400 4389 2866
34,4219 2646 2865 4384 4400 1966 4361 4387 4234 4308
35,4396 4234 4328 4308 4286 1951 1909 1907 4403 4361
36,4219 4387 2646 4384 1958 2865 4400 4395 1966 4389
37,4219 1966 4400 4387 2646 2865 4403 4408 1958 4234
38,4219 4440 1966 2646 4384 4400 4387 2865 1958 4395
39,1951 4234 3467 4286 4214 2698 4320 4328 4045 4361
40,4219 2646 4234 4361 1966 4308 4400 4440 4384 2831
41,4234 1951 4214 4361 2646 4384 4362 4396 2698 4328
42,2646 4387 4219 1958 4400 4384 4234 4308 2865 1951
43,4234 4308 4219 1951 4328 1909 4396 4403 4361 2646
44,4219 1966 2865 2646 4384 4400 4234 4361 4406 3844
45,4219 1966 2865 2646 4384 4387 4400 1958 4234 4361
